::1 | - | [Mon, 24 Aug 2020 01:11:39 GMT] | GET /api/test/ayubowan | HTTP/1.1 | 400 | 36 | http://localhost:8080/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 3.500 ms | 7.334 |
::1 | - | [Mon, 24 Aug 2020 02:06:11 GMT] | GET /api/admin/requisitions | HTTP/1.1 | 200 | 15085 | http://localhost:8080/admin/requisitions | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 1028.428 ms | 1028.983 |
::1 | - | [Mon, 24 Aug 2020 02:36:33 GMT] | GET /api/admin/requisitions | HTTP/1.1 | 304 | - | http://localhost:8080/admin/requisitions | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 962.436 ms | 962.768 |
::1 | - | [Mon, 24 Aug 2020 04:46:03 GMT] | GET /api/admin/users | HTTP/1.1 | 304 | - | http://localhost:8080/admin/users | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 4300.746 ms | 4302.312 |
::1 | - | [Mon, 24 Aug 2020 04:50:17 GMT] | GET /api/admin/get_all_products | HTTP/1.1 | 304 | - | http://localhost:8080/admin/products | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 460.784 ms | 461.400 |
::1 | - | [Mon, 24 Aug 2020 05:38:04 GMT] | GET /api/admin/requisitions | HTTP/1.1 | 304 | - | http://localhost:8080/admin/requisitions | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 1284.363 ms | 1284.994 |
::1 | - | [Mon, 24 Aug 2020 05:38:12 GMT] | GET /api/admin/get_product_requisition?requisitionId=2020/0000001 | HTTP/1.1 | 200 | 956 | http://localhost:8080/admin/requisition/MjAyMC8wMDAwMDAx | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 1551.941 ms | 1552.781 |
::1 | - | [Mon, 24 Aug 2020 12:03:35 GMT] | POST /api/api/admin/firebaseToSQL | HTTP/1.1 | 404 | 167 | - | PostmanRuntime/7.26.3 | 15.880 ms | 16.640 |
::1 | - | [Mon, 24 Aug 2020 12:03:48 GMT] | POST /api/api/admin/firebaseToSQL | HTTP/1.1 | 404 | 167 | - | PostmanRuntime/7.26.3 | 5.943 ms | 7.436 |
::1 | - | [Mon, 24 Aug 2020 12:03:56 GMT] | POST /api/admin/firebaseToSQL | HTTP/1.1 | 404 | 163 | - | PostmanRuntime/7.26.3 | 2.051 ms | 2.308 |
::1 | - | [Mon, 24 Aug 2020 12:04:11 GMT] | POST /api/admin/test/firebaseToSQL | HTTP/1.1 | 200 | 5 | - | PostmanRuntime/7.26.3 | 1.988 ms | 2.472 |
::1 | - | [Mon, 24 Aug 2020 12:08:25 GMT] | GET /api/admin/test/firebaseToSQL | HTTP/1.1 | 404 | 167 | - | PostmanRuntime/7.26.3 | 1.024 ms | 2.744 |
::1 | - | [Mon, 24 Aug 2020 12:08:36 GMT] | GET /api/admin/test/firebaseToSQL | HTTP/1.1 | 404 | 167 | - | PostmanRuntime/7.26.3 | 2.522 ms | 4.008 |
::1 | - | [Mon, 24 Aug 2020 12:09:51 GMT] | POST /api/admin/test/firebaseToSQL | HTTP/1.1 | 200 | 106 | - | PostmanRuntime/7.26.3 | 4.692 ms | 6.370 |
::1 | - | [Mon, 24 Aug 2020 12:16:52 GMT] | GET /api/admin/users | HTTP/1.1 | 200 | 1998 | http://localhost:8080/admin/users | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 42.786 ms | 44.838 |
::1 | - | [Mon, 24 Aug 2020 12:51:45 GMT] | POST /api/admin/test/firebaseToSQL | HTTP/1.1 | 400 | 308 | - | PostmanRuntime/7.26.3 | 25.598 ms | 27.142 |
::1 | - | [Mon, 24 Aug 2020 12:54:00 GMT] | POST /api/admin/test/firebaseToSQL | HTTP/1.1 | 200 | 113 | - | PostmanRuntime/7.26.3 | 32.952 ms | 34.475 |
::1 | - | [Mon, 24 Aug 2020 13:37:46 GMT] | GET /api/admin/users | HTTP/1.1 | 304 | - | http://localhost:8080/admin/users | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 27.487 ms | 28.112 |
::1 | - | [Mon, 24 Aug 2020 13:39:38 GMT] | GET /api/admin/users | HTTP/1.1 | 304 | - | http://localhost:8080/admin/users | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 11.895 ms | 12.116 |
::1 | - | [Mon, 24 Aug 2020 14:10:54 GMT] | GET /api/admin/get_user_roles | HTTP/1.1 | 404 | 163 | - | PostmanRuntime/7.26.3 | 3.311 ms | 4.794 |
::1 | - | [Mon, 24 Aug 2020 14:11:11 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 200 | 328 | - | PostmanRuntime/7.26.3 | 23.846 ms | 24.165 |
::1 | - | [Mon, 24 Aug 2020 14:12:07 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 200 | 328 | - | PostmanRuntime/7.26.3 | 26.708 ms | 28.316 |
::1 | - | [Mon, 24 Aug 2020 14:16:41 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 200 | 328 | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 4.260 ms | 4.534 |
::1 | - | [Mon, 24 Aug 2020 14:23:33 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.960 ms | 3.331 |
::1 | - | [Mon, 24 Aug 2020 14:24:03 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.707 ms | 3.428 |
::1 | - | [Mon, 24 Aug 2020 14:24:21 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.268 ms | 2.536 |
::1 | - | [Mon, 24 Aug 2020 14:27:12 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.362 ms | 2.647 |
::1 | - | [Mon, 24 Aug 2020 14:35:32 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 134 | - | PostmanRuntime/7.26.3 | 26.400 ms | 27.944 |
::1 | - | [Mon, 24 Aug 2020 14:38:29 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 8 | - | PostmanRuntime/7.26.3 | 28.713 ms | 30.247 |
::1 | - | [Mon, 24 Aug 2020 14:38:38 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 7 | - | PostmanRuntime/7.26.3 | 27.531 ms | 29.061 |
::1 | - | [Mon, 24 Aug 2020 14:39:03 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 1 | - | PostmanRuntime/7.26.3 | 28.271 ms | 29.835 |
::1 | - | [Mon, 24 Aug 2020 14:56:10 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 9 | - | PostmanRuntime/7.26.3 | 29.583 ms | 32.029 |
::1 | - | [Mon, 24 Aug 2020 14:56:19 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 9 | - | PostmanRuntime/7.26.3 | 2.685 ms | 2.939 |
::1 | - | [Mon, 24 Aug 2020 14:59:12 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 200 | 9 | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.318 ms | 2.612 |
::1 | - | [Mon, 24 Aug 2020 15:00:24 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.273 ms | 2.503 |
::1 | - | [Mon, 24 Aug 2020 15:01:08 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 3.049 ms | 3.391 |
::1 | - | [Mon, 24 Aug 2020 15:01:08 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 1.659 ms | 1.845 |
::1 | - | [Mon, 24 Aug 2020 16:36:24 GMT] | GET /api/admin/user_roles_internal | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 4.707 ms | 5.036 |
::1 | - | [Mon, 24 Aug 2020 16:36:24 GMT] | GET /api/admin/next_employee_id | HTTP/1.1 | 304 | - | http://localhost:8080/admin/add_user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36 | 2.275 ms | 2.523 |
