::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:30:26 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 242.046 ms | 242.256 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:30:26 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 242.522 ms | 242.957 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:30:26 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 244.292 ms | 244.470 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:30:26 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 292.700 ms | 292.960 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:30:29 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 258.484 ms | 258.737 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:30:29 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 262.413 ms | 262.669 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:30:29 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 262.903 ms | 263.069 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:30:29 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 264.361 ms | 264.498 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:41:10 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | 11 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 236.545 ms | 236.846 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:41:10 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | 28 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 250.997 ms | 251.271 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:41:10 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | 28 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 258.920 ms | 259.175 |
